"","hh_id","b_start","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b10_oth","b11","b11_oth","b12","b13__1","b13__2","b13__3","b13__4","b13__5","b13__6","b13__7","b13__8","b13__555","b13_oth","b14","b14_oth","b15","b16","b17__1","b17__2","b17__3","b17__555","b17_oth","b18","b19__1","b19__2","b19__555","b19_oth","b20__1","b20__2","b20__3","b20__4","b20__5","b20__6","b20__7","b20__8","b20__9","b20__10","b20__11","b20__12","b20__13","b20__555","b20_oth","b21","b22","b23","b24__1","b24__2","b24__3","b24__4","b24__5","b24__6","b24__7","b24__8","b24__9","b24__10","b24__11","b24__12","b24__555","b24_oth","elc_aggr_tier","locality","account_institution","informal_institution","loan"
"11",1000506122402,"2017-11-20T09:28:08-05:00",1,"Yes",NA,35,"A house occupied by multiple households",2,"Yes",NA,2,"Wood and mud","","Wood and thatch","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor"
"12",1000506122702,"2017-11-20T10:36:10-05:00",2,"Yes",NA,26,"A house occupied by multiple households",2,"No","Free",1,"Stone and mud","","Wood and thatch","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor"
"13",1000506122801,"2017-11-20T08:01:48-05:00",2,"Yes",NA,20,"Group of enclosed dwellings with multiple households",7,"Yes",NA,2,"Wood and mud","","Wood and thatch","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"Yes","Yes","No","No","","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,"Group Savings (Rotational)","Cannot get a loan/credit"
"14",1000506122902,"2017-11-20T08:59:57-05:00",2,"Yes",NA,17,"Group of enclosed dwellings with multiple households",2,"Yes",NA,1,"Stone and mud","","Wood and mud","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","Yes","Yes","No","No","No",NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 1",0,"Commercial Bank",NA,"Relative/Friend/Neighbor"
"15",1001500180104,"2017-11-15T09:17:29-05:00",1,"Yes",NA,19,"A single house occupied by one household",NA,"Yes",NA,1,"Wood and thatch","","Corrugated iron sheet","","Cement floor","No","No","No","No","No","No","No","No","Yes","bush","Well/spring unprotected","","Yes","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor"
"16",1001500180107,"2017-11-15T04:49:20-05:00",2,"Yes",NA,7,"Group of enclosed dwellings with multiple households",7,"Yes",NA,1,"Stone and mud","","Corrugated iron sheet","","Cement floor","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Cannot get a loan/credit"
"17",1001500180201,"2017-11-15T08:26:39-05:00",2,"Yes",NA,35,"A house occupied by multiple households",2,"Yes",NA,1,"Stone and mud","","Corrugated iron sheet","","Dirt/Mud/Dung","No","No","No","No","No","No","No","No","Yes","Bush","Well/spring unprotected","","Do not know","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor"
"18",1001500180702,"2017-11-15T07:31:49-05:00",1,"Yes",NA,75,"A house occupied by multiple households",2,"Yes",NA,1,"Stone and mud","","Corrugated iron sheet","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor"
"19",1001500181501,"2017-11-15T04:53:05-05:00",1,"Yes",NA,60,"A house occupied by multiple households",5,"Yes",NA,1,"Stone and mud","","Corrugated iron sheet","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Cannot get a loan/credit"
"20",1001500181503,"2017-11-15T04:54:47-05:00",1,"Yes",NA,32,"A house occupied by multiple households",5,"Yes",NA,1,"Stone and mud","","Corrugated iron sheet","","Cement floor","No","No","No","No","Yes","No","No","No","No","","Well/spring unprotected","","No","Yes","Yes","No","No","No",NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,"Commercial Bank",NA,"Cannot get a loan/credit"
"21",1001500181601,"2017-11-15T06:20:47-05:00",1,"Yes",NA,70,"Group of enclosed dwellings with multiple households",3,"Yes",NA,2,"Stone and mud","","Corrugated iron sheet","","Dirt/Mud/Dung","No","No","No","No","No","Yes","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor"
"22",1001500181605,"2017-11-15T07:56:48-05:00",2,"Yes",NA,45,"Group of enclosed dwellings with multiple households",6,"Yes",NA,1,"Stone and mud","","Corrugated iron sheet","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Cannot get a loan/credit"
"23",1001500181606,"2017-11-15T09:25:26-05:00",2,"Yes",NA,9,"Group of enclosed dwellings with multiple households",6,"Yes",NA,1,"Stone and mud","","Corrugated iron sheet","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Cannot get a loan/credit"
"24",1001500181702,"2017-11-15T06:52:32-05:00",2,"Yes",NA,30,"Group of enclosed dwellings with multiple households",5,"Yes",NA,1,"Stone and mud","","Corrugated iron sheet","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"Yes","Yes","No","No","","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,"Group Savings (Rotational)","Cannot get a loan/credit"
"25",1001500181802,"2017-11-15T05:00:08-05:00",1,"Yes",NA,55,"A house occupied by multiple households",3,"Yes",NA,1,"Wood and mud","","Wood and thatch","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor"
"26",1001500181901,"2017-11-15T06:33:55-05:00",2,"Yes",NA,39,"A house occupied by multiple households",6,"Yes",NA,2,"Wood and thatch","","Corrugated iron sheet","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","Yes","Yes","No","No","No",NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,"Commercial Bank",NA,"Relative/Friend/Neighbor"
"27",1001500182001,"2017-11-15T08:31:00-05:00",1,"Yes",NA,45,"A house occupied by multiple households",4,"Yes",NA,3,"Wood and thatch","","Corrugated iron sheet","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor"
"28",1001500182103,"2017-11-15T06:54:39-05:00",2,"Yes",NA,8,"A single house occupied by one household",NA,"Yes",NA,4,"Blocks, plastered with cement","","Corrugated iron sheet","","Cement floor","No","No","Yes","No","No","No","No","No","No","","Well/spring unprotected","","No","Yes","Yes","No","No","No",NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,"Commercial Bank",NA,"Relative/Friend/Neighbor"
"29",1001500920601,"2017-11-16T04:30:47-05:00",1,"Yes",NA,50,"A house occupied by multiple households",3,"Yes",NA,2,"Wood and thatch","","Corrugated iron sheet","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor"
"30",1001500920603,"2017-11-16T04:32:56-05:00",2,"Yes",NA,22,"Group of enclosed dwellings with multiple households",2,"Yes",NA,1,"Stone and mud","","Corrugated iron sheet","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","Yes","Yes","No","No","No",NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,"Commercial Bank",NA,"Relative/Friend/Neighbor"
"31",1001500920801,"2017-11-16T05:39:15-05:00",1,"Yes",NA,50,"A single house occupied by one household",NA,"Yes",NA,2,"Stone and mud","","Corrugated iron sheet","","Dirt/Mud/Dung","No","No","No","No","No","Yes","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"Yes","Yes","No","No","","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,"Group Savings (Rotational)","Relative/Friend/Neighbor"
"32",1001500920902,"2017-11-16T06:44:10-05:00",2,"Yes",NA,20,"Group of enclosed dwellings with multiple households",3,"Yes",NA,1,"Stone and mud","","Corrugated iron sheet","","Dirt/Mud/Dung","No","No","No","No","No","Yes","No","No","No","","Well/spring unprotected","","No","Yes","Yes","No","No","No",NA,"Yes","Yes","No","No","","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,"Commercial Bank","Group Savings (Rotational)","Relative/Friend/Neighbor"
"33",1001500921301,"2017-11-16T06:03:45-05:00",3,"Yes",NA,30,"A single house occupied by one household",NA,"Yes",NA,2,"Mud bricks (traditional)","","Corrugated iron sheet","","Dirt/Mud/Dung","No","No","No","No","No","Yes","No","No","No","","Well/spring unprotected","","Yes","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor"
"34",1001500921501,"2017-11-16T04:45:38-05:00",2,"Yes",NA,15,"A house occupied by multiple households",2,"Yes",NA,2,"Stone and mud","","Corrugated iron sheet","","Cement floor","No","No","No","No","Yes","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor"
"35",1001500921507,"2017-11-16T04:26:17-05:00",1,"Yes",NA,30,"A house occupied by multiple households",5,"No","Free",1,"Stone and mud","","Wood and thatch","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor"
"36",1001500921603,"2017-11-16T05:39:33-05:00",1,"Yes",NA,50,"Group of enclosed dwellings with multiple households",5,"No","Free",2,"Stone and mud","","Corrugated iron sheet","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor"
"37",1001500921606,"2017-11-16T05:34:48-05:00",1,"Yes",NA,45,"A house occupied by multiple households",6,"Yes",NA,1,"Wood and thatch","","Corrugated iron sheet","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor"
"38",1001500922001,"2017-11-16T06:53:53-05:00",2,"Yes",NA,30,"A house occupied by multiple households",2,"Yes",NA,1,"Wood and thatch","","Corrugated iron sheet","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor"
"39",1001500922101,"2017-11-16T06:43:19-05:00",2,"Yes",NA,15,"A house occupied by multiple households",3,"Yes",NA,1,"Stone and mud","","Corrugated iron sheet","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor"
"40",1001500922103,"2017-11-16T07:42:02-05:00",2,"Yes",NA,8,"A house occupied by multiple households",3,"No","Free",1,"Stone and mud","","Corrugated iron sheet","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor"
"41",1001500922202,"2017-11-16T08:00:44-05:00",1,"Yes",NA,32,"A house occupied by multiple households",4,"Yes",NA,1,"Wood and thatch","","Corrugated iron sheet","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor"
"42",1001500922702,"2017-11-16T06:59:42-05:00",1,"Yes",NA,35,"A house occupied by multiple households",2,"Yes",NA,2,"Mud bricks (traditional)","","Corrugated iron sheet","","Cement floor","No","No","No","No","No","Yes","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Cannot get a loan/credit"
"43",1002500360201,"2017-12-01T06:17:26-05:00",2,"Yes",NA,13,"Group of enclosed dwellings with multiple households",2,"Yes",NA,1,"Wood and mud","","Wood and thatch","","Dirt/Mud/Dung","No","No","No","No","Yes","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Cannot get a loan/credit"
"44",1002500360406,"2017-12-01T07:05:04-05:00",3,"Yes",NA,27,"Group of enclosed dwellings with multiple households",5,"Yes",NA,3,"Wood and mud","","Wood and thatch","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Cannot get a loan/credit"
"45",1002500360407,"2017-12-01T06:30:49-05:00",2,"Yes",NA,20,"A house occupied by multiple households",3,"No","Free",2,"Stone and mud","","Wood and mud","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor"
"46",1002500360501,"2017-12-01T06:32:48-05:00",1,"Yes",NA,45,"A house occupied by multiple households",3,"Yes",NA,1,"Mud bricks (traditional)","","Wood and thatch","","Dirt/Mud/Dung","No","No","No","No","No","No","No","No","Yes","Bush","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor"
"47",1002500360601,"2017-12-01T09:28:41-05:00",2,"Yes",NA,32,"Group of enclosed dwellings with multiple households",5,"Yes",NA,3,"Wood and mud","","Wood and mud","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Cannot get a loan/credit"
"48",1002500360602,"2017-12-01T07:21:05-05:00",1,"Yes",NA,35,"Group of enclosed dwellings with multiple households",3,"No","Free",1,"Stone and mud","","Corrugated iron sheet","","Dirt/Mud/Dung","Yes","No","No","No","No","No","No","No","No","","Well/spring unprotected","","No","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,"","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Tier 0",0,NA,NA,"Relative/Friend/Neighbor"
